"class","age","sex","status","count"
"Crew","Adult","Female","Perished",3
"First Class","Adult","Female","Perished",4
"Second Class","Adult","Female","Perished",13
"Third Class","Adult","Female","Perished",89
"Crew","Child","Female","Perished",0
"First Class","Child","Female","Perished",0
"Second Class","Child","Female","Perished",0
"Third Class","Child","Female","Perished",17
"Crew","Adult","Male","Perished",670
"First Class","Adult","Male","Perished",118
"Second Class","Adult","Male","Perished",154
"Third Class","Adult","Male","Perished",387
"Crew","Child","Male","Perished",0
"First Class","Child","Male","Perished",0
"Second Class","Child","Male","Perished",0
"Third Class","Child","Male","Perished",35
"Crew","Adult","Female","Survived",20
"First Class","Adult","Female","Survived",140
"Second Class","Adult","Female","Survived",80
"Third Class","Adult","Female","Survived",76
"Crew","Child","Female","Survived",0
"First Class","Child","Female","Survived",1
"Second Class","Child","Female","Survived",13
"Third Class","Child","Female","Survived",14
"Crew","Adult","Male","Survived",192
"First Class","Adult","Male","Survived",57
"Second Class","Adult","Male","Survived",14
"Third Class","Adult","Male","Survived",75
"Crew","Child","Male","Survived",0
"First Class","Child","Male","Survived",5
"Second Class","Child","Male","Survived",11
"Third Class","Child","Male","Survived",13
